,Drag Coefficient,mass,diameter,fall_velocity,air_density,air_viscosity,Reynolds Number,shapes,KPCA1,KPCA2,KPCA3
45,0.65240216,9e-08,0.0016717593,1.45,1.112,1.758e-05,153.3302,14,0.4570807400115205,-0.09124481068282722,0.07953613864434242
46,0.72515595,9e-08,0.0015785316,1.37,1.112,1.758e-05,136.7917,14,0.5114914608816069,0.02611184987170889,-0.01671373481101554
47,0.75915426,6e-08,0.0013210453,1.29,1.112,1.758e-05,107.79369,14,0.3848115506611599,0.46988545842976415,0.11408775235029103
48,0.46100736,9e-08,0.0016014639,1.69,1.112,1.758e-05,171.19449,14,0.40493858968051566,-0.1178187333320238,-0.14405248843237572
49,1.3226622,7e-08,0.00084666535,1.48,1.112,1.758e-05,79.26099,14,-0.09552313026072215,-0.20812292691676093,-0.24578278889769067
50,0.8759267,3e-07,0.004154343,1.13,1.112,1.758e-05,296.93866,12,-0.362889206709066,0.11773080448933419,-0.12200936455040605
51,0.6629237,7e-07,0.0032182955,1.83,1.112,1.758e-05,372.53143,13,-0.16435173063319325,-0.23372382365880293,-0.033555911669539
52,0.988769,6e-08,0.001355556,1.21,1.112,1.758e-05,103.75015,14,0.10268805240949772,0.08662533945979674,-0.11653171424244084
53,0.8700406,6e-08,0.0013720188,1.29,1.112,1.758e-05,111.95299,14,-0.062662008286101,-0.14289799102398174,0.2282538059969815
54,0.5976622,3.5e-07,0.0023485671,2.04,1.112,1.758e-05,303.0533,14,-0.14040849898564142,-0.20903517581614123,-0.17478933109200717
55,1.584742,3.5e-08,0.0010635854,0.93,1.112,1.758e-05,62.56641,13,0.25496075479030367,0.1137390705641569,0.04400302640031337
56,0.47067362,9e-08,0.0016255103,1.62,1.112,1.758e-05,166.56766,14,0.4055625537162934,0.07959200871106646,-0.07679424441760141
57,0.97244143,1.8e-07,0.0034809145,1.03,1.112,1.758e-05,226.78613,4,-0.4311718470171535,0.23343254491592727,-0.06985278750464062
58,1.3103232,4.9999997e-08,0.0015369892,0.82,1.112,1.758e-05,79.720604,11,-0.3067652330857502,0.018426153932211763,-0.0914829180244253
59,0.9740653,6e-08,0.0013321696,1.25,1.112,1.758e-05,105.33082,13,-0.19542449899078818,0.22058799596316486,-0.11279848318897101
60,0.8957052,7e-08,0.0025333802,0.9,1.112,1.758e-05,144.2211,10,-0.20206407683573605,-0.06373208312653252,0.08397410776512056
61,1.5327495,3.5e-08,0.0010951527,0.9,1.112,1.758e-05,62.345215,13,-0.05127857836667672,-0.13981530032711684,0.08060331072435874
62,1.4397577,6.5e-07,0.0049566394,1.03,1.112,1.758e-05,322.93155,5,-0.2634375675365671,0.2640715212418927,-0.13245802660871078
63,0.81850886,3.5e-07,0.00266267,1.51,1.112,1.758e-05,254.31982,13,0.20009032322499246,-0.040016939370091695,-0.1856354149750443
64,1.2540501,6e-08,0.0012038185,1.11,1.112,1.758e-05,84.522026,14,0.4099996695359741,-0.15713914973975687,-0.011790882312951235
