,Drag Coefficient,mass,diameter,fall_velocity,air_density,air_viscosity,Reynolds Number,shapes,KPCA1
68,2.1003885,1.05e-07,0.0013035624,1.03,1.112,1.758e-05,84.9288,14,0.37755341962796357
69,0.87708455,1.5e-08,0.0008007094,0.95,1.112,1.758e-05,48.115437,14,0.3121304985113529
70,1.0513302,6e-08,0.0011671623,1.25,1.112,1.758e-05,92.28417,14,0.11217396837744417
71,0.8833853,1.5e-07,0.0014781543,1.69,1.112,1.758e-05,158.01286,14,0.4171761435617114
72,0.5350511,3.5e-08,0.0009562907,1.58,1.112,1.758e-05,95.572495,16,0.33957474202490134
73,0.85185856,1.5e-08,0.0010083446,0.98,1.112,1.758e-05,62.505898,8,0.07052118529411897
74,0.5638782,9e-08,0.001785622,1.58,1.112,1.758e-05,178.45657,8,-0.0008172936855782003
75,0.5861505,1.9999999e-07,0.001999291,1.93,1.112,1.758e-05,244.0727,8,0.0314618256860926
76,1.7231591,9e-08,0.001736502,0.89,1.112,1.758e-05,97.75776,12,0.40663128419486205
77,0.6894102,6e-08,0.0013857667,1.45,1.112,1.758e-05,127.09956,12,0.3627642667400795
78,2.0776477,3.5e-08,0.0010348485,0.82,1.112,1.758e-05,53.675552,12,-0.3332641509550626
79,1.747109,3e-07,0.0025382007,1.03,1.112,1.758e-05,165.3671,12,0.5050310477940427
80,2.2879615,1.6999999e-07,0.0018612975,0.87,1.112,1.758e-05,102.42854,12,0.49102050686465604
81,1.3242849,1.05e-07,0.0022391065,0.8,1.112,1.758e-05,113.305405,11,0.2904973218229582
82,1.1013374,1.2e-07,0.0018445887,1.09,1.112,1.758e-05,127.17799,14,-0.2816809810088645
83,0.8190655,6e-08,0.003074475,0.89,1.112,1.758e-05,173.08002,0,-0.20428099628835436
84,1.568825,6e-08,0.0014866305,0.82,1.112,1.758e-05,77.1086,11,-0.11235685205274315
85,1.2882832,5.5e-07,0.003951126,1.16,1.112,1.758e-05,289.91104,10,-0.2969764719076225
86,1.2213906,6e-08,0.0011138036,1.29,1.112,1.758e-05,90.88333,8,-0.36534382398162796
87,1.1172593,6e-08,0.0020578227,0.82,1.112,1.758e-05,106.735214,10,-0.3728788213083222
88,2.120064,6e-08,0.0010407211,1.09,1.112,1.758e-05,71.754105,8,0.08380581754157762
89,0.41899866,1.5e-08,0.0015368232,0.93,1.112,1.758e-05,90.405075,11,-0.2763877288039404
90,1.1624709,9e-08,0.0015662007,1.03,1.112,1.758e-05,102.04003,15,-0.2776559964206906
91,0.7144322,1.2e-07,0.001666596,1.51,1.112,1.758e-05,159.18172,14,0.31135832705626154
92,0.46855196,3.5e-07,0.0026049193,1.93,1.112,1.758e-05,318.0076,14,-0.35912324960419617
93,0.5533089,1.0499999e-06,0.0039375233,2.54,1.112,1.758e-05,632.6198,14,-0.27986429866580276
94,0.45988053,1.2e-07,0.0019005165,1.62,1.112,1.758e-05,194.7478,14,-0.22681238341269833
95,0.5325155,7e-07,0.0032139106,2.14,1.112,1.758e-05,435.04434,14,-0.35947931163162133
96,0.9017589,4.9999997e-08,0.0011376046,1.25,1.112,1.758e-05,89.94712,13,0.3732709483436612
97,0.81952983,2e-06,0.004764353,2.0,1.112,1.758e-05,602.7259,11,-0.06505442972629406
98,0.17013733,1.5e-08,0.0020696365,1.9,1.112,1.758e-05,248.7331,7,0.12208557684455966
99,2.9604855,1.6999999e-07,0.0013630314,1.05,1.112,1.758e-05,90.52762,14,-0.08101870792832239
100,0.94412285,1.6999999e-07,0.0024745269,1.1,1.112,1.758e-05,172.17528,9,-0.02783829263590531
101,0.77776414,1.2e-07,0.0021898525,1.2,1.112,1.758e-05,166.21953,12,-0.047511053051445054
102,0.67211854,2e-06,0.004153269,2.4,1.112,1.758e-05,630.5031,13,0.12328327975545146
103,0.35196573,1.9999999e-07,0.0023695345,2.0,1.112,1.758e-05,299.76364,15,0.2413130641525656
104,0.46522298,1.9999999e-07,0.0025779144,1.6,1.112,1.758e-05,260.9002,13,0.05812264480579317
105,1.8132721,1.9000001e-07,0.0031252103,0.8,1.112,1.758e-05,158.14488,10,-0.08585328009245839
106,1.0650238,9e-08,0.0012450136,1.4,1.112,1.758e-05,110.252396,14,0.10917955607806815
107,0.6264075,1.2e-07,0.0015861116,1.7,1.112,1.758e-05,170.55664,14,-0.3795493507711285
108,0.4054388,1.9999999e-07,0.002640585,1.7,1.112,1.758e-05,283.9455,15,0.3630043069684355
109,0.55006856,1.6999999e-07,0.0020148598,1.7,1.112,1.758e-05,216.66048,14,0.24821454406264026
110,4.161674,1.6999999e-07,0.0020058353,0.7,1.112,1.758e-05,88.813545,10,0.10180155073974698
111,0.8210598,1.2e-07,0.0011790983,1.8,1.112,1.758e-05,134.2482,14,-0.38771285141377276
112,0.7610606,2e-06,0.0041617844,2.6,1.112,1.758e-05,684.44543,14,-0.3217771076251564
113,2.3707063,3e-07,0.0021604374,1.0,1.112,1.758e-05,136.65565,14,-0.12001068124731339
114,1.179608,1.2e-07,0.0016137882,1.2,1.112,1.758e-05,122.49369,12,-0.12803311933928713
115,0.8704245,3e-07,0.0017028586,2.0,1.112,1.758e-05,215.42421,14,-0.4748037618641436
116,0.59712905,9e-08,0.0010998693,2.0,1.112,1.758e-05,139.1416,14,-0.3546964951120188
117,2.4965048,6e-08,0.0010614787,0.9,1.112,1.758e-05,60.428215,15,-0.37796951912515375
118,1.9632071,1.3e-06,0.0024541563,2.1,1.112,1.758e-05,325.99234,13,-0.018813042521468946
119,0.52618927,8.1e-07,0.0071254936,1.4,1.112,1.758e-05,630.9993,2,0.07685009539427172
120,1.0946602,5.1e-07,0.0050475737,1.0,1.112,1.758e-05,319.2777,1,0.0533935943166159
121,2.1729589,1.9999999e-07,0.0017676872,1.0,1.112,1.758e-05,111.812744,15,0.013129724573765126
122,0.86299545,2e-06,0.0032607985,2.8,1.112,1.758e-05,577.5212,15,0.3916681407502747
123,1.9971843,1.6999999e-07,0.001797872,1.0,1.112,1.758e-05,113.72205,14,-0.307417994321777
124,0.4725349,3e-07,0.0019904233,2.3,1.112,1.758e-05,289.57376,15,-0.18376162924443892
125,0.9947606,5.3e-07,0.0040309685,1.4,1.112,1.758e-05,356.96313,3,0.1341421137324977
126,0.7843355,9e-08,0.0015749868,1.2,1.112,1.758e-05,119.5485,13,0.2856749760247206
127,1.327452,1.5999999e-06,0.0027662937,2.4,1.112,1.758e-05,419.94797,15,0.3575088082503128
