,Drag Coefficient,mass,diameter,fall_velocity,air_density,air_viscosity,Reynolds Number,shapes,KPCA1,KPCA2,KPCA3,KPCA4,KPCA5
0,1.5098137,1.6999999e-07,0.002135886,1.03,1.112,1.758e-05,139.15578,14,-0.25920208589656457,-0.029563009346912746,-0.17983051518070217,-0.09452509817128771,-0.0840084840012815
1,0.77231264,3e-07,0.0020549665,1.93,1.112,1.758e-05,250.86957,14,-0.09254226762474098,0.007062098564957607,-0.07646891338983958,0.25215410804211763,0.11058688032901005
2,0.46077716,7e-07,0.0030112963,2.54,1.112,1.758e-05,483.80804,14,0.36069577848131573,0.4570572720366243,0.10068166579369885,-0.036086169135983726,-0.08328058164747364
3,0.3544514,9e-08,0.0016462463,2.01,1.112,1.758e-05,209.30365,14,-0.33167146477161996,0.16552506265845143,-0.11770844734807374,-0.18296107478029563,-0.08361020575417105
4,0.6445952,8.9e-07,0.0069175446,1.69,1.112,1.758e-05,739.4769,6,-0.017757165268597472,0.49757029983759843,-0.09466011665314143,-0.10931870297623282,0.0339631815632797
5,0.49446458,1.5e-08,0.00080486404,1.32,1.112,1.758e-05,67.202034,14,-0.09864753882945389,0.09338106155423621,-0.2823298826018228,0.04001583338242337,0.03277144027708237
6,0.34235644,4.7e-07,0.0065452126,1.25,1.112,1.758e-05,517.5111,2,-0.32829629527804444,0.17737100303874628,-0.10715745754817227,-0.009693464064515347,-0.19391836423550163
7,0.8846468,1.2e-07,0.0025874262,0.932,1.112,1.758e-05,152.53511,10,-0.27669907559778517,0.22571256245048224,-0.1691521887643754,0.013476288304706296,-0.02053458985004577
8,0.85683113,2.5e-07,0.0047352207,0.965,1.112,1.758e-05,289.037,4,0.18422980441180287,0.46890327205695964,0.05120458116702828,0.05432590136742714,-0.059981998417740136
9,2.0334125,3.5e-08,0.000853616,1.03,1.112,1.758e-05,55.614197,14,0.026276880004826805,-0.14330847579734238,0.03592582133651535,0.07278485142216307,0.10087766631395507
10,0.7672016,6e-08,0.0015257457,1.33,1.112,1.758e-05,128.35706,8,0.07572211340029258,0.10899501586119716,0.1749309363671733,0.42721006387128563,0.06289190050878701
11,1.2559277,5.2e-07,0.0018454201,2.17,1.112,1.758e-05,253.30334,14,0.10235580283078399,-0.07661318920629621,-0.1440045244177889,-0.20639950353930453,-0.11089956597638445
12,1.4574544,6e-08,0.000944299,1.33,1.112,1.758e-05,79.44144,14,-0.24390769922711944,-0.048284967163672955,0.16210705309842263,0.10280222674363727,-0.006968302185302569
13,2.5213618,3e-07,0.0023837616,0.868,1.112,1.758e-05,130.87854,13,-0.34810166443420987,-0.01786958890578841,-0.09832601678072833,0.01726585346022682,0.018024877194095186
14,0.8334195,9e-07,0.0022747393,2.58,1.112,1.758e-05,371.22504,14,-0.4697300021317044,0.020677384170503424,0.03079083391743504,0.04214481199160748,-0.06695246704408414
15,1.2039663,7e-08,0.00095672224,1.51,1.112,1.758e-05,91.379486,14,-0.4387210986856154,0.05519746733083904,-0.06922664959958595,-0.03730021901571139,-0.04730792734392785
